Name,SMILES,Description,xyz,zmat
3-acetyloxy-4-(trimethylazaniumyl)butanoate,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,O-acetylcarnitine is an O-acylcarnitine having acetyl as the acyl substituent. It has a role as a human metabolite. It is functionally related to an acetic acid. It is a conjugate base of an O-acetylcarnitinium.,"31

C          1.12873        0.03839       -0.05056
C          0.44106        1.33753       -0.28744
O         -0.66413        1.38234       -0.79897
O          1.03850        2.36679        0.39327
C          0.46306        3.69337        0.24769
C          1.00540        4.36481       -1.00322
C          0.59438        3.59705       -2.24559
O         -0.44969        4.04097       -2.79275
O          1.32455        2.60641       -2.52018
C         -1.08016        3.79960        0.39824
N         -1.60918        3.29924        1.80604
C         -1.11802        4.20066        2.91409
C         -3.12832        3.32168        1.74687
C         -1.20060        1.87047        2.10472
H          0.81647       -0.64075       -0.84832
H          0.78867       -0.35822        0.91052
H          2.21276        0.13848       -0.07175
H          0.89209        4.27724        1.07359
H          0.63804        5.39481       -1.07206
H          2.09888        4.39673       -0.95813
H         -1.40011        4.84813        0.32740
H         -1.64456        3.25417       -0.35738
H         -1.46646        5.21782        2.71934
H         -1.52048        3.82911        3.86096
H         -0.02687        4.16470        2.95153
H         -3.45703        2.67079        0.93058
H         -3.50897        2.94586        2.70200
H         -3.45812        4.35008        1.58284
H         -1.56673        1.22479        1.30636
H         -0.11988        1.82648        2.24097
H         -1.65765        1.55378        3.04414
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.4889
O  2  1.2187  1  121.18
O  2  1.3710  1  112.01  3  166.13
C  4  1.4533  2  117.58  1  180.00
C  5  1.5198  4  110.15  2  275.58
C  6  1.5172  5  110.72  4  63.31
O  7  1.2596  6  113.70  5  95.04
O  7  1.2609  6  114.77  5  277.40
C  5  1.5542  4  116.48  2  47.14
N  10  1.5850  5  113.32  4  59.15
C  11  1.5105  10  110.77  5  65.84
C  11  1.5205  10  107.11  5  186.00
C  11  1.5158  10  112.50  5  303.19
H  1  1.0932  2  107.10  3  31.83
H  1  1.0939  2  108.21  3  274.35
H  1  1.0888  2  112.12  3  151.48
H  5  1.0987  4  104.78  2  164.10
H  6  1.0957  5  110.33  4  184.66
H  6  1.48890  5  109.60  4  303.52
H  10  1.48891  5  110.38  4  176.78
H  10  1.48892  5  114.39  4  296.72
H  12  1.48893  11  108.73  10  58.73
H  12  1.48894  11  108.22  10  179.01
H  12  1.48895  11  109.29  10  297.66
H  13  1.48896  11  108.68  10  58.82
H  13  1.48897  11  107.96  10  178.11
H  13  1.48898  11  108.75  10  297.96
H  14  1.48899  11  108.87  10  302.93
H  14  1.21870  11  121.180  10  67.53
H  14  1.21871  11  121.181  10  184.54"
"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid",C1=CC(C(C(=C1)C(=O)O)O)O,"2,3-dihydroxy-2,3-dihydrobenzoic acid is a cyclohexadienecarboxylic acid having the C=C bonds at the 1- and 3-positions, the carboxylic acid at the 1-position and two hydroxy substituents at the 5- and 6-positions. It is a cyclohexadienecarboxylic acid and an alpha,beta-unsaturated monocarboxylic acid. It is a conjugate acid of a 2,3-dihydroxy-2,3-dihydrobenzoate.","19

C          1.03451        0.95637       -0.02040
C          1.35838       -0.34311       -0.00470
C          0.33493       -1.43164        0.07470
C         -1.14458       -0.97264       -0.08250
C         -1.36757        0.51246       -0.00885
C         -0.34618        1.39091        0.01252
C         -2.76564        0.99920        0.01004
O         -3.12324        2.16639       -0.01945
O         -3.65726       -0.00473        0.05369
O         -1.61102       -1.41415       -1.36544
O          0.53237       -2.05136        1.34470
H          1.81824        1.71056       -0.03376
H          2.39867       -0.65964       -0.01322
H          0.56198       -2.17564       -0.69838
H         -1.74115       -1.46569        0.69563
H         -0.52046        2.46532        0.03436
H         -4.54580        0.39722       -0.02057
H         -1.07638       -0.94529       -2.02886
H          0.33234       -1.37350        2.01364
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3393
C  2  1.4962  1  122.76
C  3  1.5570  2  115.48  1  9.05
C  4  1.5036  3  115.29  2  347.95
C  5  1.3473  4  122.16  3  8.45
C  5  1.4805  4  117.74  3  187.11
O  7  1.2211  5  126.19  4  185.04
O  7  1.3434  5  112.42  4  4.50
O  4  1.4347  3  107.97  2  108.05
O  3  1.4269  2  105.58  1  246.73
H  1  1.0878  2  119.91  3  177.24
H  2  1.0874  1  120.91  3  182.26
H  3  1.0967  2  108.33  1  131.58
H  4  1.0975  3  108.21  2  225.42
H  6  1.0887  5  121.49  4  178.05
H  9  0.9780  7  107.06  5  185.15
H  10  0.9725  4  106.43  3  295.91
H  11  0.9731  3  106.31  2  64.01"
1-aminopropan-2-ol,CC(CN)O,1-aminopropan-2-ol is any amino alcohol that is propan-2-ol substituted by an amino group at position 1. It has a role as an Escherichia coli metabolite. It is an amino alcohol and a secondary alcohol.,"14

C          0.97093        0.12238       -0.04560
C          0.45837       -0.04787       -1.46964
C          0.93683       -1.36261       -2.11615
N          0.43849       -2.54210       -1.39344
O         -0.96868       -0.02064       -1.43810
H          0.59145       -0.66594        0.61368
H          0.61411        1.06638        0.37800
H          2.06401        0.10928       -0.01610
H          0.79132        0.79853       -2.08122
H          0.55982       -1.41960       -3.14352
H          2.03105       -1.38849       -2.15456
H          0.80735       -3.38068       -1.84345
H          0.82745       -2.55124       -0.45032
H         -1.23367       -0.90965       -1.12159
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5230
C  2  1.5413  1  112.53
N  3  1.4703  2  111.89  1  62.28
O  2  1.4277  1  108.28  3  121.32
H  1  1.0955  2  111.45  3  297.27
H  1  1.0945  2  110.40  3  179.81
H  1  1.0935  2  111.12  3  58.73
H  2  1.0960  1  109.46  3  238.27
H  3  1.0958  2  109.32  1  181.38
H  3  1.0952  2  110.18  1  299.96
H  4  1.0207  3  108.66  2  181.78
H  4  1.0202  3  109.41  2  296.15
H  5  0.9802  2  105.07  1  282.03"
(3-amino-2-oxopropyl) dihydrogen phosphate,C(C(=O)COP(=O)(O)O)N,3-amino-2-oxopropyl phosphate is a oxoalkyl phosphate having 3-amino-2-oxopropyl as the oxoalkyl group. It is a conjugate acid of a 3-ammonio-2-oxopropyl phosphate(1-).,"18

C          1.03265       -0.08307       -0.00616
C          0.41762       -1.10468        0.95768
O         -0.25950       -0.76123        1.94015
C          0.66656       -2.58528        0.69663
O         -0.02561       -3.24985       -0.32324
P         -1.36375       -2.68056       -0.98711
O         -1.41153       -1.21675       -1.22804
O         -1.39261       -3.57141       -2.30671
O         -2.54851       -3.26610       -0.10088
N          0.57240        1.27064        0.34864
H          0.74410       -0.29652       -1.03726
H          2.12311       -0.12331        0.05294
H          1.74065       -2.72013        0.51557
H          0.46869       -3.11928        1.63415
H         -0.59489       -4.13239       -2.31955
H         -3.18378       -2.56705        0.15298
H         -0.45374        1.24746        0.33979
H          0.79268        1.43196        1.33397
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5228
O  2  1.2438  1  123.42
C  2  1.4924  1  115.29  3  178.51
O  4  1.4054  2  106.00  1  298.29
P  5  1.5954  4  124.41  2  268.29
O  6  1.4855  5  114.73  4  213.87
O  6  1.5967  5  102.05  4  338.76
O  6  1.5959  5  105.50  4  82.59
N  1  1.4640  2  109.76  3  356.47
H  1  1.0948  2  109.08  3  236.76
H  1  1.0949  2  109.22  3  117.94
H  4  1.0959  2  109.77  1  55.09
H  4  1.0943  2  111.07  1  173.05
H  8  0.9741  6  111.59  5  303.62
H  9  0.9778  6  112.62  5  232.39
H  10  1.0247  1  106.68  2  304.06
H  10  1.0227  1  107.45  2  54.04"
"1-chloro-2,4-dinitrobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,"1-chloro-2,4-dinitrobenzene is a C-nitro compound that is chlorobenzene carrying a nitro substituent at each of the 2- and 4-positions. It has a role as an epitope, an allergen and a sensitiser. It is a C-nitro compound and a member of monochlorobenzenes.","16

C          1.71544        1.21241        0.00021
C          0.31912        1.20634       -0.01320
C         -0.40596        0.00287       -0.01589
C          0.29090       -1.21699       -0.02017
C          1.70747       -1.21747        0.00074
C          2.40807       -0.00069        0.01544
N          3.87951        0.01121        0.04915
O          4.46189       -1.07978        0.06597
O          4.44327        1.11466        0.06172
N         -0.39007       -2.52528       -0.05768
O          0.32904       -3.53376       -0.07117
O         -1.62410       -2.56906       -0.08067
Cl        -2.12322        0.19895       -0.00284
H          2.23948        2.16759        0.00176
H         -0.20881        2.16005       -0.02035
H          2.26097       -2.15756        0.00474
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3964
C  2  1.4050  1  121.32
C  3  1.4049  2  119.19  1  359.28
C  4  1.4167  3  119.75  2  1.05
C  1  1.3970  2  119.48  3  359.80
N  6  1.4719  1  119.27  2  180.88
O  7  1.2368  6  117.64  1  179.79
O  7  1.2392  6  117.53  1  359.95
N  4  1.4754  3  122.76  2  181.59
O  10  1.2387  4  117.02  3  179.31
O  10  1.2350  4  119.54  3  359.67
Cl  3  1.7285  2  114.55  1  178.90
H  1  1.0895  2  119.00  3  179.99
H  2  1.0901  1  118.72  3  179.92
H  5  1.0909  4  120.51  3  179.57"
"2,3-dihydroxy-3-methylpentanoic acid",CCC(C)(C(C(=O)O)O)O,"2,3-Dihydroxy-3-methylpentanoate is a hydroxy fatty acid.","22

C          1.08629       -0.12538        0.00034
C          0.59857        0.99025        0.90878
C          1.08461        2.39306        0.49527
C          0.59070        2.70984       -0.93049
C          0.59558        3.48892        1.47811
C          1.10343        3.28502        2.91233
O          1.89146        4.01721        3.50149
O          0.60040        2.19808        3.52893
O          1.02997        4.76898        0.98107
O          2.52215        2.39308        0.47160
H          0.71160       -0.01416       -1.01855
H          0.73537       -1.08864        0.37961
H          2.18007       -0.14517       -0.02332
H         -0.49719        0.97898        0.96358
H          0.98353        0.72406        1.89533
H         -0.50359        2.69835       -0.97566
H          0.94610        3.68365       -1.28180
H          0.97539        1.99105       -1.66072
H         -0.49899        3.52369        1.50868
H          1.11412        2.09780        4.35782
H          1.98739        4.82200        1.15723
H          2.81976        3.22669        0.06720
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5191
C  2  1.5411  1  114.00
C  3  1.5418  2  109.52  1  59.64
C  3  1.5511  2  111.94  1  181.74
C  5  1.5351  3  113.19  2  60.92
O  6  1.2265  5  125.60  3  113.19
O  6  1.3471  5  114.29  3  292.77
O  5  1.4402  3  108.31  2  183.07
O  3  1.4377  2  108.65  1  302.17
H  1  1.0913  2  111.92  3  297.16
H  1  1.0931  2  109.67  3  177.73
H  1  1.0942  2  110.31  3  58.65
H  2  1.0972  1  110.06  3  123.79
H  2  1.0919  1  104.36  3  239.13
H  4  1.0953  3  110.86  2  60.59
H  4  1.0945  3  112.06  2  182.22
H  4  1.0945  3  111.68  2  299.51
H  5  1.0955  3  110.80  2  299.45
H  8  1.51910  6  105.89  5  170.37
H  9  1.51911  5  106.39  3  285.63
H  10  1.51912  3  108.22  2  170.52"
"1,2-dichloroethane",C(CCl)Cl,"1,2-dichloroethane is a member of the class of chloroethanes substituted by two chloro groups at positions 1 and 2. It has a role as a non-polar solvent, a hepatotoxic agent and a mutagen.","8

C          1.07362        0.05448       -0.00721
C          0.56176        0.93266       -1.13870
Cl         1.17929        0.41891       -2.72851
Cl         0.45609       -1.61310       -0.11039
H          0.73714        0.45633        0.95386
H          2.16626        0.01238        0.00609
H         -0.53088        0.93510       -1.18277
H          0.89824        1.96338       -0.98790
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5210
Cl  2  1.7812  1  112.38
Cl  1  1.7812  2  112.38  3  293.91
H  1  1.0947  2  109.74  3  175.31
H  1  1.0935  2  111.56  3  55.54
H  2  1.0935  1  111.56  3  121.63
H  2  1.0947  1  109.74  3  241.41"
"benzene-1,2,3,5-tetrol",C1=C(C=C(C(=C1O)O)O)O,"1,2,3,5-tetrahydroxybenzene is a benzenetetrol.","16

C         -0.71364        1.19462        0.00011
C          0.68444        1.18587        0.00027
C          1.39984       -0.00897       -0.00058
C          0.71095       -1.21266        0.00066
C         -0.67939       -1.22539        0.00072
C         -1.38930       -0.02626       -0.00067
O         -2.75684       -0.09374       -0.00285
O         -1.32974       -2.43044        0.00227
O          1.41810       -2.37991        0.00232
O          1.41026        2.34239        0.00152
H         -1.25733        2.13170        0.00070
H          2.48520       -0.00189       -0.00156
H         -3.11141        0.81233       -0.00881
H         -2.28077       -2.19907        0.00265
H          0.74246       -3.08594        0.00513
H          0.81357        3.10675        0.00592
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3981
C  2  1.3926  1  121.27
C  3  1.3869  2  119.31  1  359.89
C  4  1.3904  3  120.31  2  0.10
C  5  1.3935  4  120.10  3  0.01
O  6  1.3692  5  117.80  4  179.89
O  5  1.3693  4  118.88  3  180.02
O  4  1.3647  3  119.01  2  180.12
O  2  1.3654  1  121.75  3  180.01
H  1  1.0834  2  120.48  3  180.00
H  3  1.0854  2  120.54  1  179.93
H  7  0.9730  6  108.55  5  180.32
H  8  0.9788  5  104.68  4  179.96
H  9  0.9772  4  105.05  3  179.87
H  10  0.9697  2  109.91  1  0.23"
"1,2,4-trichlorobenzene",C1=CC(=C(C=C1Cl)Cl)Cl,"1,2,4-trichlorobenzene is a trichlorobenzene with chloro substituents at positions 1, 2 and 4.","12

C          1.33740        1.50333       -0.01978
C         -0.02979        1.78917       -0.02192
C         -0.96400        0.74783       -0.01842
C         -0.52453       -0.58210       -0.02530
C          0.84432       -0.86689       -0.03222
C          1.76712        0.17766       -0.02208
Cl         3.45106       -0.17207       -0.00171
Cl        -1.62087       -1.91796       -0.01639
Cl        -2.63835        1.17119        0.00330
H          2.05899        2.31723       -0.01246
H         -0.36051        2.82530       -0.02090
H          1.18891       -1.89763       -0.03993
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3968
C  2  1.3990  1  120.09
C  3  1.4007  2  119.82  1  359.41
C  4  1.3982  3  120.04  2  0.16
C  1  1.3936  2  119.77  3  0.38
Cl  6  1.7200  1  119.69  2  180.68
Cl  4  1.7282  3  122.34  2  179.80
Cl  3  1.7272  2  117.71  1  179.08
H  1  1.0877  2  119.75  3  180.61
H  2  1.0876  1  119.51  3  179.67
H  5  1.0868  4  120.24  3  180.14"
"1,8-diazacyclotetradecane-2,9-dione",C1CCC(=O)NCCCCCC(=O)NCC1,"1,8-diazacyclotetradecane-2,9-dione is a ketone.","38

C         -1.20883        2.41358        0.39392
C          0.09713        2.95715       -0.20326
C          1.34535        2.28866        0.38751
C          1.99633        1.28926       -0.54215
O          1.51426        0.94492       -1.62096
N          3.09269        0.65828        0.02207
C          3.17052       -0.77624       -0.14902
C          1.97638       -1.46055        0.54511
C          1.17761       -2.27776       -0.46751
C         -0.10255       -2.88839        0.11833
C         -1.37793       -2.24004       -0.43820
C         -2.13568       -1.41093        0.58025
O         -1.77651       -1.25380        1.74744
N         -3.17222       -0.68125        0.01879
C         -3.10238        0.75200        0.21332
C         -1.85424        1.33995       -0.47314
H         -1.92243        3.23646        0.50695
H         -1.03097        2.01013        1.39827
H          0.07502        2.90043       -1.29823
H          0.14600        4.02204        0.04782
H          1.09001        1.74652        1.30743
H          2.08552        3.05034        0.65159
H          3.55219        1.06924        0.82571
H          4.11740       -1.12982        0.27033
H          3.18199       -0.98000       -1.22566
H          1.31047       -0.72923        1.02178
H          2.33794       -2.11221        1.34891
H          1.82301       -3.08515       -0.83242
H          0.94940       -1.65131       -1.33664
H         -0.07049       -2.88059        1.21369
H         -0.11931       -3.94314       -0.17732
H         -2.04948       -3.01022       -0.82770
H         -1.13329       -1.57759       -1.27830
H         -3.60592       -1.01794       -0.83185
H         -3.08622        0.93710        1.29260
H         -4.01071        1.20622       -0.19554
H         -2.13407        1.75450       -1.44930
H         -1.10143        0.57280       -0.67834
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5355
C  2  1.5343  1  112.83
C  3  1.5122  2  113.67  1  104.79
O  4  1.2308  3  123.72  2  353.67
N  4  1.3851  3  113.04  2  182.21
C  6  1.4468  4  116.49  3  134.43
C  7  1.5414  6  110.20  4  297.02
C  8  1.5269  7  110.14  6  121.63
C  9  1.5346  8  113.34  7  185.25
C  10  1.5351  9  112.74  8  110.45
C  11  1.5162  10  113.74  9  249.18
O  12  1.2313  11  124.11  10  0.33
N  12  1.3864  11  112.92  10  171.32
C  14  1.4481  12  115.50  11  238.07
C  1  1.5235  2  112.86  3  262.83
H  1  1.0951  2  109.17  3  142.48
H  1  1.0969  2  110.39  3  25.47
H  2  1.0967  1  110.66  3  126.69
H  2  1.53550  1  107.04  3  242.07
H  3  1.53551  2  110.40  1  344.82
H  3  1.53552  2  109.87  1  226.57
H  6  1.53553  4  119.83  3  341.12
H  7  1.53554  6  108.76  4  175.44
H  7  1.53555  6  107.52  4  58.84
H  8  1.53556  7  111.69  6  0.24
H  8  1.53557  7  109.79  6  242.80
H  9  1.53558  8  107.88  7  64.50
H  9  1.53559  8  109.21  7  309.43
H  10  1.53430  9  112.830  8  343.31
H  10  1.53431  9  112.831  8  228.10
H  11  1.53432  10  112.832  9  127.23
H  11  1.53433  10  112.833  9  9.65
H  14  1.53434  12  112.834  11  26.41
H  15  1.53435  14  112.835  12  301.55
H  15  1.53436  14  112.836  12  184.82
H  16  1.53437  1  112.837  2  297.45
H  16  1.53438  1  112.838  2  52.78"
